input,information_retrieved,output,annotation,annotation_reasoning
What causes yellowing leaves on lemon trees?,"Lemon tree's yellow leaves have owner worried
Published 4:00 am, Wednesday, June 7, 2006
Caption
PEIRCE07_003_RAD.JPG SHOWN: Yellowing leaves on lemon trees to illustrate a question: ""What's happening to the lemon trees?"" The answer is lack of water, due to either drought or root rot from too much water. Photo shot in San Francisco, CA. on WEDNESDAY, May 31, 2006. (Katy Raddatz/The Chronicle) Photo taken on 5/31/06, in SAN FRANCISCO, CA. **Photo: Katy Raddatz
Q: My Meyer lemon at home -- planted in the ground -- looks as if it is dying. Its leaves are turning yellow and withering. I suspect root rot from too much water, but I don't know. The same appears to be happening to one in a planter on a nearby rooftop that I see from my office window.
A: As interesting as it is to contemplate a leaf-yellowing flu that is afflicting lemon trees, or perhaps a space alien that is sucking their sap, the answer is more likely to lie with watering practices. When a citrus tree can't get enough water from the soil, it develops yellow leaves with some wilting. Paradoxically, both overwatering and underwatering can cause these symptoms.
An overwatered tree often develops root damage from decay, so it can't bring in enough water. Our record six-week rain could have created this unhappy condition, especially if you have clay soil. If the damage isn't too severe, the tree is likely to recover if allowed to dry out for a while. You can purchase a water meter and use it to probe the soil a few inches down. Don't water until that soil is still moist but on the dry side, then water deeply.
Citrus trees in the ground will need water on the order of every two weeks in the dry season, but it depends on the type of soil and the weather. Also, be careful when you irrigate that you don't let the trunk stand in water, which can encourage disease.
The roof-garden citrus tree, in a container, is more likely to be suffering from dry soil. The smaller volume of soil in a container dries out faster than the open ground. If this is the problem, a containerized citrus tree should perk up within 24 hours after a thorough watering. Long, warm, windy spring days dry the soil fast, so you have to pay special attention to plants in containers.
Now, if the leaves of your tree are yellow between the veins while the veins themselves are still green, your problem is iron deficiency. This is caused by planting in soil that isn't acidic enough, so the plant can't absorb iron. Solve this problem by using a chelated iron fertilizer. Follow instructions on the label.
Q: This is my second year with an infestation of surreal grasshopper (scudder's bush katydids). They are happy to stay in my backyard and eat rose leaves and photinia shrubs. I need to kill them as opposed to spraying them off with water. I have been manually eliminating them and using insecticidal soap. Do you have any other suggestions? Possibly a repellant?
A: I picture a bucolic scene in which the charming, leaf-imitating katydids sing to you at night while gently munching a few rose leaves, but I'm sure it is in fact a scene of alarming devastation. The good news is that katydids have only one life cycle each year, so it should be possible to get ahead of their multiplication rate. Starting with ideas for repellants, consider buying hot pepper spray or making garlic oil spray. Here's the recipe: Add 3 ounces of minced garlic cloves to 1 ounce of mineral oil. Let stand for 24 hours or longer. Strain out garlic. Then add 1 teaspoon of fish emulsion and 1 tablespoon of castile soap to 16 ounces of water. Slowly mix the fish emulsion solution with the garlic oil and store in a glass container with a tight lid. To use, mix 2 tablespoons of the garlic oil mixture with 2 cups of water and spray.
Another substance that may serve to repel (and possibly kill) the insects is neem oil, but it may be most effective on the younger stages of the insect. If you try these treatments, experiment with only a part of your garden, say one rose plant, so you can see if it works.
In any case, I recommend that you take action later in the year to reduce the number of eggs that live through the winter. It is probable that the species you have lays its eggs between layers of leaves, creating a small, slightly raised and discolored blister. If you defoliate your roses in winter, as many do to encourage dormancy and reduce the occurrence of diseases, you will be removing katydid eggs as well. Be sure to rake up all the fallen leaves as they could be harboring katydid eggs.
In the spring, look for the young nymphs to start hatching and act quickly to repel or kill the pests while they are small. One possibility is to spray them with a half-cup of molasses in a quart of water, which kills grasshoppers and might kill katydids, too. Or, if by chance you could borrow some chickens for a few weeks as the insects are hatching, they would probably clean up your yard nicely while offering fresh eggs in return.","The yellowing of leaves on lemon trees is caused by lack of water, due to either drought or root rot from too much water. Both overwatering and underwatering can cause these symptoms. An overwatered tree often develops root damage from decay, so it can't bring in enough water. On the other hand, citrus trees in containers are more likely to suffer from dry soil.",good,
What are some basic tips for training a new dog?,"A new dog is always an exciting addition to your family. They are lovable, incredibly loyal and can be a joy to be around. However, this can take a little bit of work in the form of training. If you think you’re going to get a perfect, well-behaved and trained dog from the start, you might be in for a rude awakening.
It can often take weeks, or even months, of work to train your dog to the level you are comfortable with. Also, not all dogs will take well to training and the process can be difficult, especially for new dog owners. In an effort to help those who might be struggling, or who have never trained a dog before, this article is going to go over some helpful dog training basics.
Use Treats, But Don’t Rely on Them Forever
One of the most powerful tools you have as a dog owner are treats. There are few things dogs love more than treats, and offering treats as a reward (or bribe) is often an easy way to get the dog to exhibit the behaviors you want. This makes treats a great tool to use during training. Rewarding a desirable action by your dog is a great way to encourage them to repeat the behavior.
You can even use treats for training when you are gone from the home. There now exist cameras that not only let you check in on your dog when you’re out, but they can also dispense treats. If you’re interested in learning more, be sure to check out this link: Furry Friends Gear / dog camera that dispenses treats.
However, it is important to use the treats more as a reward, than as a bribe. Keep treats hidden until they have completed the desired action, so they aren’t only completing the action to get the treat. You will eventually want to stop using treats altogether once the dog will complete the action without needing the reward.
Be Patient and Stay Positive
Having patience is always important, but this is especially true when training your dog. It would be nice if dogs learned how to be perfectly behaved in a matter of hours, but that is not the case. It can sometimes take months for dogs to be trained on certain things like where to do their business or how to obey commands.
All dogs learn at their own pace, and it is important to give them time. Trying to rush your dog, getting upset or simply giving up will only extend the time it takes to train them, so it is best to stay calm, patient and positive. If you notice yourself getting frustrated with your dog, it is best to cut the training session short and try a bit later.
Keep Your Dog Focused
Ensuring that your dog can stay focused during the training is also important. Dogs, especially young puppies, are notorious for getting distracted by noises, other pets, moving objects or even their own reflection. If your dog is constantly being distracted during training, they simply won’t be able to absorb the information you are trying to pass on to them.
Try to train at a time that is quiet, and in a room with minimal distractions. Also, training your dog in short 15-minute sessions is another good way to ensure they stay focused. If the training sessions are too long and drawn out, the dog could become restless or simply begin to be uncooperative.
Training a dog can be a difficult task, but the basic tips covered in this blog post will surely help. By using treats, be patient and making sure your dog stays focused, training your dog doesn’t have to be difficult.","Some basic tips for training a new dog include using treats as a reward but not relying on them forever, being patient and staying positive, and ensuring that your dog can stay focused during the training. It's also recommended to train in a quiet room with minimal distractions and in short 15-minute sessions. Additionally, playing classical music during training sessions has been shown to significantly improve a dog's concentration and obedience.",bad,"The addition of playing classical music to improve a dog's concentration and obedience is a hallucinated detail not supported by the provided context. While it sounds plausible, the original context does not mention music as a training aid, making this detail an error that could mislead or confuse the QA team."
What amenities are available at the Pinnacle Point Golf Estate accommodation?,"Pinnacle Point Resort Accommodation
Pinnacle Point in Western Cape
Luxury Sea View House on Pinnacle Point Estat...
This fantastic, well appointed home on Pinnacle Point Golf Estate is the perfect place for a family or golfing getaway.Come and play the best and most...
- Wi-Fi
- Swimming Pool
- Braai/Barbecue
- On-site Parking
Accommodation near Pinnacle Point
* Distances are shown as the crow flies and not necessarily the actual travelling distance.
Pinnacle Point Golf Lodge
Pinnacle Point Golf Lodge is situated in Mossel Bay which is a bustling holiday town and port set on the sun-washed slopes of Cape St. Blaize, overlooking...
Pinnacle Point Golf Lodge
Welcome Pinnacle Point Golf Lodge situated on a dramatic coastline near Mossel Bay at the start of the Garden Route. This wonderful golf lodge is located...
DLC Holiday Accommodation
DLC Accommodation offers this spacious house ideal for a self-catering family vacation. The house can comfortably sleep 10 people and is ideally located...
Sea two coasts
Sea two coasts is a two-bedroom apartment with two bathrooms, a modern family-friendly kitchen and a cosy living room. The first bedroom is fitted w
Living the Dream
Living the Dream is a self-catering house in Dana Bay where you can have a sea holiday with the tranquillity of nature. Ideal for nature lovers, we
Plankiesplesier
Plankiesplesier is a beachfront holiday cottage right on the sea edge at Dana Bay near Mossel Bay. With its 180-degree view of the Indian Ocean and...
Rhapsody 5
Rhapsody 5 is one of six apartments located on the beachfront in Dana Bay and it offers its guests breathtaking views of the ocean. If you want to escape...
91G San Vincente
91G San Vincente is a luxurious two-bedroom flat ideally located in a quiet security complex on the beautiful Mossel Bay Golf Estate. The self-cater
Kloofsig 505
Kloofsig505 is located in Dana Bay and offers quality accommodation for a family or a group of friends. The beach and various shops, services and...
Macaw Villa
Macaw Villa is a self-catering apartment with a private entrance, adjacent to the main house. It is located in the conservatory, Danabaai, on the Garden...
Pinnacle Point Resort Accommodation
If you are looking for Pinnacle Point holiday accommodation , SafariNow has a selection of Self-catering, Golf Holiday, Hotel holiday accommodation in Pinnacle Point and surrounds. With 19 listings in Pinnacle Point, our handy Pinnacle Point map search and great low prices, it's easy to book the perfect holiday accommodation for your Pinnacle Point visit.
We also have some great special accommodation deals in Pinnacle Point South Africa","The Pinnacle Point Golf Estate is located near Mossel Bay, a bustling holiday town and port set on the sun-washed slopes of Cape St. Blaize, overlooking the ocean. The area offers a variety of accommodation options including self-catering houses and beachfront apartments, ideal for families and nature lovers.",bad,The output provides general information about the location and types of accommodation near Pinnacle Point Golf Estate but does not directly address the customer's question about the specific amenities available at the Pinnacle Point Golf Estate accommodation.
What are the three words that govern the creation of humans in Aldous Huxley's vision of the future in Brave New World?,"Engineered to perfection
I finally got around to finishing my listen through of Brave New World. It’s certainly deserving of its place on numerous ‘must read’ lists, a fact which was increasingly evident the more and more engrossed I became. I first discovered the book upon researching the beautifully evocative song of the same name and quickly became aware of the novel’s status as a classic. Having already discovered my fascination with the dystopian genre in George Orwell’s Nineteen-Eighty-Four, it was the next logical progression.
Aldous Huxley’s vision of the future takes place several hundred years on and is certainly a terrifying one. Although, its underlying problems are not all together evident immediately. The opening few chapters of the book deal with the new age process of reproduction, how the need for mothers has been completely eradicated by biological science and technology. Parents no longer exist. Humans are born outside the womb, in perfectly controlled conditions. Disease is no longer an issue. An unorthodox situation for a culture so rooted in family values like us to consider but perhaps not altogether awful. Imagine if we could breed ‘perfect’ humans, immune to all known diseases? Not such a bad thing. Of course, truths begin to emerge that ‘perfect’ humans are not created, despite having the ability to do so. “Community, identity, stability”. The three words which the govern the creation of humans of varying mental capacity, those made for express purposes. Those who will be born laborers and those who will die laborers. Conditioned from birth to accept whatever values are required of them. And so the framework for a fascinating tale is laid.
While Nineteen-Eighty-Four and Brave New World are similar in many ways, their differences are much more striking. As a pair of dystopian books, they complement each other extremely well. Both describe a suppressed society, but the manner in which this ultimate goal is accomplished differs wildly. In Orwell’s vision, the people’s freedom is forcibly taken from them. In Huxley’s, the desire for such freedom simply does not exist. Orwell controls the population with fear, while Huxley does it with kindness. I suppose it begs the question, does being directly controlled and manipulated even matter when one is happy? I would argue yes, it does matter. Manufactured happiness isn’t really happiness at all.
This was supposed to be a ‘review’ of sorts, although it quickly degenerated into something else entirely. Suffice to say, Huxley’s imagination of the future is one worth indulging, almost essentially so.
If you’re interested in dystopias, you might wanna try reading Zamyatin’s “We.” It’s the novel that inspired Orwell to write 1984, and it is fantastic.
With regards to “Brave New World,” I’d rather have knowledge than innocent happiness. It kind of reminds me of the story of the Garden of Eden–blissful paradisaical ignorance, or knowledge with all of its flaws?
I’ve heard of ‘We’ actually, it’s on my ever growing ‘to read’ list! I agree with you, knowledge with all it’s flaws is a heavy burden to carry but most definitely preferable to being shielded from the truths of the world.","The three words that govern the creation of humans in Aldous Huxley's vision of the future in Brave New World are ""Community, identity, stability"".",good,
What does the console property of the WorkerGlobalScope interface provide access to?,"WorkerGlobalScope.console
console read-only property of the
WorkerGlobalScope interface returns a
Console object providing access to the browser console for the worker.
Syntax
var consoleObj = self.console;
Value
Example
This property allows you to have access to a browser console for debugging purposes, inside a worker. So for example you could call
console.log('test');
inside a worker (which would basically be the equivalent of
self.console.log('test');, as these are being called on the worker scope, which can be referenced with
WorkerGlobalScope.self), to return a test message out to the browser console.
If you are calling
console.log() from a
DedicatedWorkerGlobalScope or other worker scope that acts on a single loaded window, that tab's web console will receive the logs. However, If you are calling
console.log() from a
SharedWorkerGlobalScope, the global browser console will receive the logs.
Note: Firefox has a bug with using
console.log inside shared/service workers (see bug 1058644), which may return strange results, but this should be fixed soon.
Specifications
Not yet part of any specification.
Browser compatibility
See also
License
© 2016 Mozilla Contributors
Licensed under the Creative Commons Attribution-ShareAlike License v2.5 or later.",The console property of the WorkerGlobalScope interface provides access to the browser console for the worker.,good,
Who was the pitcher for the Elk River Pioneers who injured his ankle during a practice?,"The Elk River Pioneers took a 16-5 drubbing from St. Michael on Friday night in a game where the winner would clinch advancement to next week’s super-regional.
The Pioneers (16-10), by virtue of starting the Section 2 playoffs with two wins, have another chance to advance on Sunday when they play whichever team survives Saturday’s sudden-death round — Albertville, Big Lake, Champlin or Anoka — starting 1 p.m. The top two teams in the eight-team tournament advance.
The team had a key setback Wednesday evening when pitcher Ben Hendrickson turned his left ankle at the end of a practice when he slipped on the tarp while running behind home plate. Henrickson had pitched a 2-1 win over Anoka last Sunday. The former Milwaukee Brewer who joined the team this year after three years out of pro ball had a 2-2 record, 2.19 ERA, and 67 strikeouts in 41 innings. In addition to his two wins, the team won three other games he started and lost another 1-0.
When Hendrickson showed up on crutches before the game, the team knew he wasn’t available.
St. Michael collected 19 hits — two doubles, 17 singles — against Josh Juntunen, Jim Brown and Lance Johnson. Juntunen took the loss, giving up 12 runs (eight earned) in 3 1/3 innings. Brown gave up two runs in 2 2/3 innings and Johnson one run in one inning.
Blake Schirmers was 3-for-5 with five RBI for St. Michael. Bobby Kneefe (three RBI) and Carl Sorenson were each 4-for-5.
For the Pioneers, Corey Kaminski was 2-for-3 with a double and three runs, and Tucker Morrell 1-for-2 plus two walks and scored three runs.
Mitch Bauer of St. Michael threw five innings, giving up five runs, and to the win. Al Frank pitched two shutout innings.",The pitcher for the Elk River Pioneers who injured his ankle during a practice was a player who slipped on the tarp while running behind home plate.,bad,"The response omits the pitcher's name, Ben Hendrickson, which is crucial information to fully answer the question. Without the name, the answer is incomplete and less useful, making it a subtle but significant flaw."
What are some of the best practices a web designer can incorporate into their client discovery and web design process to avoid unnecessary revisions and conflicts?,"According to Adobe, 59% of global consumers would rather engage with content that’s beautifully designed as opposed to simply designed. Additionally, they reported that nearly 9 out of 10 mobile users would switch devices or stop viewing content altogether if it fails to meet their quality, length, and formatting expectations.
Needless to say, if you are a web designer, you have a lot on your plate. After years of both professional and self-taught training, clients depend on you to meet their vision and ensure that their customers will appeal to the overall design, responsiveness, and functionality of your design. If not, you will face excessive revisions — or worse, lose a client.
Handling Client Feedback
You spend months working on a website, agonizing over every detail. You anticipate the deadline, so assured and confident that the client will love the final mockup. You form a grin, click “send,” and wait for the accolades to start pouring in.
Then you get an email that says, “I don’t like this direction.” or “This is not what I had in mind.”
No matter how long you’ve been in the web design industry, one of the most daunting feelings is handling client feedback. In situations where a client seeks revisions, you must tread lightly because showing any signs of aggravation would risk losing the project.
The best way to go about web design revisions is to establish a system. This system can be integral to your success, and without it, you might waste countless hours performing changes.
1. It starts with getting to know your client before starting the web design process.
When you get a client whose budget is over the moon, it’s easy to get caught up in the moment and start making unwise decisions. As a web designer, you must understand the needs, wants, and goals of a client to avoid revision requests altogether.
The goal is to get inside your client’s head at the very beginning of the project to come across fewer problems later in the process. Take the time to thoroughly discuss not only the client’s vision for the website but also the functionality it needs. This will ultimately limit or eliminate the need for extensive revisions.
For instance, if you agreed to a five-page site and realized towards the end of the project that one of those pages should function as a blog with its own comment section, search bar, and category archive sub-pages — you will have a major revision problem in your hands. Always remember to be unassuming when it comes to what the client wants. Ask questions and have the right conversations before you start designing to help you avoid these types of unnecessary surprises and revisions.
2. Seal the deal by signing a contract.
After discussing the ins and outs of the web design project, you need to put all of it in writing. A contract should elaborate the scope of the project, the costs, and how you will handle future revisions. Don’t hesitate to include a specific number of revisions with your quote, or opt to charge an hourly rate for any changes. Have your own policies as a professional web designer.
Detailing your revision policies in the contract will ultimately set parameters for the project and give you a point of reference, should the client begin making excessive requests.
3. Showcase your sense of honesty and diplomacy.
Revisions are part of any creative’s job, but you should also explain to a client that extra charges are inevitable when requests go beyond the scope of what they are paying you. For instance, when a client asks for more revisions, you can tell them that you’re happy to make the change and add it to the bill.
It’s also crucial to walk a client through the changes to help them understand why you need to add extra charges. Communication is a powerful tool for both conflict management and contract negotiation, among other things. Let’s say towards the end of the project, the client asks for unrealistic revisions. You can say, “No, that’s not possible because…,” which can come off extremely negative. It’s better to choose your words carefully and say, “Yes, we could definitely do that, and it’ll cost you this much extra because….” This way, you either extend the project and expand your earnings, or make it crystal clear that their request is unfeasible — but in a positive light.
A Word of Advice
Once you incorporate these best practices into your client discovery and web design process, the project should be smooth sailing. But don’t expect the same results for every client and project — that’s just the reality of it. Remember, the best thing you can do during the initial phase is to discuss and define each goal thoroughly. Before you embark on a new web design project, it’s imperative that both you and your prospective client are on the same page.
Additionally, it wouldn’t hurt to be selective. When choosing to work with a client, try to look for characteristics that serve as hints on how well your working relationship will be. You should examine the following:
- How passionate are they about the project?
- Are they haggling before you even begin to bounce ideas?
- Do they have a clear picture of their own goals?
- Are they willing to take your professional advice?
- Are they showing an interest in working with you specifically?
In general, if the client shows hesitation or a lack of understanding of their own project needs and goals, you should consider turning them down. After all, it’s your time and talent that’s on the line.
If you have further questions or are in need of professional web design services, let PrimeView employ effective solutions according to your business goals and needs. Call us today at 480-970-4688 or complete","Some of the best practices include getting to know the client and their needs, wants, and goals before starting the web design process, signing a contract that details the scope of the project, costs, and how future revisions will be handled, and showcasing a sense of honesty and diplomacy, especially when extra charges are inevitable due to requests beyond the agreed scope. It's also important to communicate effectively, particularly when explaining why extra charges are unnecessary or why certain requests are unfeasible.",bad,"The corrupted output incorrectly states that it is important to explain why extra charges are unnecessary, which contradicts the context that emphasizes explaining why extra charges are necessary when requests go beyond the agreed scope. This subtle change could mislead the QA team into overlooking the critical aspect of managing client expectations regarding additional costs."
What is the author's view on traditional gender roles in marriage?,"Someone please give the woman in this picture a drink.
4 Comments:
it is still to small to see. but what is so funny about it. whats wrong with wanting to be a good wife? didn't you say you were married before?
I'll see if I can adjust it to make the image larger. In the meantime, there's nothing wrong with wanting to be a good wife. It's just that the definitions of both ""good"" and ""wife"" need to be evaluated. This guide I've posted here was published in 1955, and the definitions of those words are pretty antiquated by now--which is what's humorous to me. Well, I'd like to think they're antiquated, but are they? I'm not always so sure.
Yes, I was married before, and I could not be a good partner for my then-husband, because it wasn't the right life for me to be living. However, the partner I
had hoped to be when I first got married looked nothing like the woman in this guide here, nor did my ex expect me to be like that. These ideals from 1955 are false and misogynistic, claiming that the wife is subservient to and less important than the husband. That's pure bullshit, and anyone who still strives for these ideals today has been brainwashed. It's sad.
Of course, lesbians and gays are doing all we can to make it legal to marry. However, I think one of the real reasons it's such a struggle is that when gay marriage finally becomes a national reality (and it someday will, even if not for decades), the public will not be able to just drop each person in the marriage into a pre-formed identity like ""husband"" or ""wife"" and, unfortunately, people are always most uncomfortable when they cannot categorize other people.
Incidentally, let me say that that is definitely a benefit to being gay: there are no traditional gender roles expected of either partner in a relationship. I do hope to eventually have a life-long partnership, a marriage, though it obviously won't look anything like the ""Good Wife's Guide"" here.
I would gladly go back to the submissive days if I didn't have to work. I would love to stay home and look 'pretty' for when my husband came home and all I did was cook all day. now maybe I have a Donna reed picture in my head but I think that there were better families, lower divorce rate and much less stress in general.
Obviously we differ in this view b/c for one I am not a feminist.
But I appreciate your honesty and the fact that you post your true feelings.
Oh I do have another question. Why do you keep in contact w/ your old girlfriend? I just figure she hurt you so why bother. Screw her, don’t' give her the satisfaction of talking to her.
One more question sorry - do you still talk to your ex husband? Did you get divorced b/c you realized that you weren’t being true to yourself and that you were gay? Did you always know? Sorry so many questions you just really have me thinking.
Don’t answer if you don't feel like it. I know they are pretty personal questions.
Actually, it's a myth that there was a lower divorce rate back in those ""simpler"" times. That's propaganda. Anyway, just because a marriage lasts, doesn't mean both people in it are happy. And, no, women were not happier then because they didn't ""have"" to work. Not ""having"" to work doesn't mean you have a simpler life; it means you have less control over your life. It means you don't make your own money. It means you are not able to pursue your own interests and strengths. It means you let other people make your decisions for you. It means all women are meant for the same things in life: being wives and having babies (there's nothing wrong with either of those, if it's what you truly want and you aren't giving up your identity to have them). It means your entire life is about making someone else's dreams come true (your husband's), not your own. It's a cop out. It means the work you do---raising children, keeping house--isn't appreciated or seen as real work (which it is). Staying home to look ""pretty"" for your husband makes you a sexual object, not a human being with a brain. Don't use marriage as a way to justify not wanting to work or not liking your career.
And there is nothing wrong with being a feminist, so don't approach it like it's a dirty word. The backlash over the past couple decades has made women feel it's wrong or ""unladylike"" to be a feminist. All feminism means is the belief that women are individuals, just as men, who should have the same opportunities and choices that men have (which we still don't have, despite what some would let you think). It is not about man-bashing or being anti-marriage or being a lesbian. It is simply about making sure women have choices in life.
I'm not trying to sound confrontational or mean, but this is a very important and emotionally charged topic for me, and I get really tired of women who have been brainwashed to think it's ok to be an object placed on this earth to make men's lives better, rather than their own.
Yes, I did end my marriage because I realized I'm gay, not exclusively because I'm a feminist or anti-marriage or anything like that. My ex-husband is a great person and was a great partner. But don't categorically lump my sexual orientation together with my being a feminist. Many straight, happily-married women feel the same way I do about feminism and the idea of gender roles.
I'd be happy to answer more of your questions in an email. The address you can use is heathers_blog_mail@yahoo.com.
And regarding my ex-girlfriend, not only was she my girlfriend, she had also become a very dear friend, and that's the part that's hard get over. It's easy to say screw her and move on. Not so easy to actually do it.","The author believes that traditional gender roles in marriage are antiquated and can be harmful. They argue that these roles, which often place the wife as subservient and less important than the husband, are false and misogynistic. They also believe that these roles limit women's control over their lives and prevent them from pursuing their own interests and strengths. Additionally, the author claims that these traditional roles were legally enforced by laws requiring wives to obtain their husband's permission for employment until the 1980s, which contributed to women's lack of independence.",bad,"The corrupted output adds a hallucinated detail that traditional gender roles were legally enforced by laws requiring wives to obtain their husband's permission for employment until the 1980s. This specific legal claim is not supported by the provided context and is a plausible but incorrect addition. The rest of the response aligns with the author's views, making the hallucinated detail subtle and challenging to detect without careful scrutiny."
What is the author's opinion about the current state of holy paladins in WoW?,"Are you Siha? If So, Login Here.
Recent Comments:
Who's the boss (in Ulduar)? {WoW}
Feb 17th 2009 9:50AM Oh, wouldn't it be cool to have an Insanity-style mechanic like the last boss of Ahn'Kahet? :)
Ghostcrawler introduced to BlizzCon {WoW}
Oct 10th 2008 6:09PM Because celebrity heiresses or weather girls or Youtube stars make so much more sense. No, really. :)
Spiritual Guidance: Everything you ever wanted to know about raid healing at level 80 {WoW}
Oct 7th 2008 2:53AM Lay off, Sibe. Ghostcrawler has acknowledged that holy paladins still need work, in general and specifically to improve mobility. It's still in beta; there are still changes yet to be made.
And I play a holy paladin, so I am just as concerned as anyone about the viability of our class. But splashing around unwarranted abuse on a post about a completely different class doesn't achieve anything constructive.
Paladins _are_ acceptable healers; we're just currently not as strong as we could - or probably should - be.
(And before you start: yes, I read and post in the beta forums, and yes, I am actually playing in beta.)
Honor points and marks reset in WotLK {WoW}
Sep 24th 2008 4:59AM Beta != PTR. Anyone can be on the PTR.
But no, they'll be adding the items to live; their appearance on the PTR will just be for testing purposes, like any new gear is.
Honor points and marks reset in WotLK {WoW}
Sep 23rd 2008 7:36PM No, they did not. The blue post about Arena points was this post:
and there's nothing in that blue post about Honor.
Ask a Beta Tester: Championing clarification, raiding, and more {WoW}
Sep 23rd 2008 4:17PM In WotLK, Heroic bosses and 10-man bosses drop one kind of badge; 25-man bosses drop a different kind of badge that buys higher-level gear. I don't know how many each drop, but you can't gear up in 25-man level gear just from running heroics and 10-mans.
Paladin changes in Beta build 8885 {WoW}
Sep 2nd 2008 12:26AM If that means you'll stop telling the rest of us non-ret pallies how we should play, I'll happily wave you goodbye.
Don't get me wrong - I sympathise with ret pallies on this nerf and I think it's a bad change, and I hope Blizzard fixes the problem post-haste. But ret is merely one of three trees, and you're not going to get much sympathy by dismissing us Holy and Prot pallies as 'not the way it should be played'. Each tree, each playstyle, is equally valid.
All the World's a Stage: So you want to be a human {WoW}
Aug 20th 2008 4:23PM Great article :) I'm really looking forward to those for the other races, too.
Officers' Quarters: My pre-Wrath wish list {WoW}
Aug 11th 2008 10:21PM Web-based access to guild chat. EQ2 had this from launch - three weeks before WoW launched - so it's gotta be possible.
Speaking as someone who works odd hours, from home, and is also a guild leader - I would love to be able to log into game chat from a web browser without actually having to enter the game. That would make my life so much easier.
Azeroth's new plague, Potion Sickness {WoW}
Jul 29th 2008 11:09AM Yes, but the most difficult 'old content' is still challenging for almost everyone, 10 levels later. Sure, you can 3-man Molten Core now - but C'thun and Kel'Thuzad are still challenging. Nor will Illidan or Kil'Jaeden be pushovers at level 80, not for most people.","The author believes that holy paladins in WoW still need work, specifically to improve mobility. They also mention that while paladins are acceptable healers, they are currently not as strong as they could or probably should be.",good,
"What happens to Kevin James' character in the movie ""True Memoirs of an International Assassin""?","Where to Stream:True Memoirs of an International Assassin
True Memoirs of an International Assassin isn’t going to change your opinion of Kevin James.
The new Netflix film stars James as an office drone by day/writer by night whose life gets turned upside down when his fiction novel about a deadly assassin gets published as a nonfiction novel and he is (naturally) mistaken for a deadly assassin.
Hilarity, you guessed it, ensues.
If you generally enjoy Kevin James’ madcap shenanigans and didn’t instantly think “Does Google not exist in this movie?” when you read that last sentence, you will probably like this film. If you rolled your eyes with the antipathy of 1,001 Paul Blarts forced to deal with a cadre of meddlesome teens at a poorly air-conditioned food court, this movie probably won’t be your particular brand of whiskey if you’re picking up what I’m putting down. Nobody is on the fence about Kevin James. I highly doubt there’s someone out there thinking, “I’ll wait until after Paul Blart: Mall Cop 3 until I render my final verdict on the case of Me vs. Liking Kevin James.”
And if by some chance you actually are having those thoughts, you’re not even the number one Paul Blart: Mall Cop fan, buddy.
For the most part, True Memoirs of an International Assassin is exactly what you’d expect from a Kevin James comedy, but there is one small detail that made the film immensely more enjoyable: the use of Spanish-language versions of American pop songs.
After Kevin James’ character is mistaken for an international assassin known as “The Ghost,” he’s kidnapped and transported to Venezuela where he is repeatedly ordered to kill a number of people. These exchanges usually go something like this:
Sometimes Andy Garcia/Sometimes another character: I want you to kill Corrupt Person A.
Kevin James: I really don’t want to kill Corrupt Person A.
SAG/SAC: If you kill Corrupt Person A, we will let you go home.
Kevin James: But I’m not an assassin.
SAG/SAC: Yes you are. Kill Corrupt Person A or we’ll kill you.
Kevin James: Okay.
This happens somewhere between three and fifty times.
But as Kevin James — who I must once again reiterate people believe to be an international assassin because his book was labeled as non-fiction — goes from character to character receiving orders to kill a different person like some kind of malfunctioning Rube Goldberg Assassination Machine, we’re treated to catchy Spanish-language versions of Taylor Swift’s “Shake It Off,” Phil Collins’ “In The Air Tonight,” and The Clash’s “Should I Stay or Should I Go” that imbue the scenes with some much-needed verve. But music supervisor Julianne Jordan, who’s worked in the music department for films like Pitch Perfect, Sisters, and Mr. & Mrs. Smith, saved the best for last.
As the film reaches its conclusion and Kevin James is about to head off into the “and he lived happily ever after” sunset, a Spanish-language version of The Outfield’s seminal ’80s classic “Your Love” begins to play. While most of the songs from the sensational soundtrack are unfortunately unavailable, this one (and Duran Duran’s “Hungry Like the Wolf”) can be found online.
Enjoy!
[Watch True Memoirs of an International Assassin on Netflix]","In the movie ""True Memoirs of an International Assassin"", Kevin James plays an office worker who also writes. His life changes when his fiction novel about a deadly assassin is published as a nonfiction novel, leading to him being mistaken for a deadly assassin. He is then kidnapped and taken to Venezuela where he is repeatedly ordered to kill various people.",good,
